DTINSTRU

DATE-OBS
DTCALDAT
DTTELESC
OBSTYPE
PROCTYPE
PRODTYPE
DTSITE
OBSERVAT
REFERENCE
FILESIZE
MD5SUM
DTACQNAM
DTPROPID
PI
RELEASE_DATE
RA
DEC
FOOTPRINT
FILTER
EXPOSURE
OBSMODE
SEEING
DEPTH
SURVEYID
COLLECTIONID
OBJECT
RADIUS / BOX
RADIUS/BOX
