""
local_file
DTACQNAM
DATE-OBS
DTCALDAT
DTTELESC
DTINSTRU
OBSTYPE
PROCTYPE
PRODTYPE
DTSITE
OBSERVAT
REFERENCE
FILESIZE
MD5SUM
DTPROPID
PI
RELEASE_DATE
RA
DEC
FOOTPRINT
FILTER
EXPOSURE
OBSMODE
SEEING
DEPTH
SURVEYID
COLLECTIONID
OBJECT
RADIUS / BOX
RADIUS/BOX
